   Temp (K)   mole % SiO2  mole % ZnO     wt % SiO2    wt % ZnO     a(SiO2)      a(ZnO)     a(Zn2SiO4)  
     1823.000       17.578       82.422        0.136       99.864   1.6678E-02   5.0599E-01   1.5911E-01
     1823.000       17.702       82.298        0.137       99.863   1.6982E-02   5.0291E-01   1.6004E-01
     1823.000       17.825       82.175        0.138       99.862   1.7291E-02   4.9983E-01   1.6096E-01
     1823.000       17.948       82.052        0.139       99.861   1.7605E-02   4.9676E-01   1.6188E-01
     1823.000       18.071       81.929        0.140       99.860   1.7923E-02   4.9371E-01   1.6279E-01
     1823.000       18.194       81.806        0.141       99.859   1.8247E-02   4.9067E-01   1.6369E-01
     1823.000       18.317       81.683        0.142       99.858   1.8576E-02   4.8764E-01   1.6459E-01
     1823.000       18.439       81.561        0.143       99.857   1.8910E-02   4.8463E-01   1.6549E-01
     1823.000       18.562       81.438        0.144       99.856   1.9249E-02   4.8162E-01   1.6637E-01
     1823.000       18.685       81.315        0.145       99.855   1.9594E-02   4.7864E-01   1.6726E-01
     1823.000       18.807       81.193        0.146       99.854   1.9943E-02   4.7566E-01   1.6813E-01
     1823.000       18.930       81.070        0.147       99.853   2.0298E-02   4.7270E-01   1.6900E-01
     1823.000       19.052       80.948        0.148       99.852   2.0659E-02   4.6975E-01   1.6986E-01
     1823.000       19.174       80.826        0.149       99.851   2.1025E-02   4.6681E-01   1.7072E-01
     1823.000       19.296       80.704        0.150       99.850   2.1397E-02   4.6389E-01   1.7157E-01
     1823.000       19.418       80.582        0.151       99.849   2.1774E-02   4.6098E-01   1.7241E-01
     1823.000       19.540       80.460        0.152       99.848   2.2157E-02   4.5809E-01   1.7325E-01
     1823.000       19.662       80.338        0.153       99.847   2.2546E-02   4.5521E-01   1.7408E-01
     1823.000       19.784       80.216        0.154       99.846   2.2941E-02   4.5234E-01   1.7491E-01
     1823.000       19.906       80.094        0.155       99.845   2.3342E-02   4.4949E-01   1.7572E-01
     1823.000       20.028       79.972        0.156       99.844   2.3748E-02   4.4665E-01   1.7653E-01
     1823.000       20.149       79.851        0.157       99.843   2.4161E-02   4.4383E-01   1.7734E-01
     1823.000       20.271       79.729        0.158       99.842   2.4579E-02   4.4102E-01   1.7813E-01
     1823.000       20.392       79.608        0.159       99.841   2.5004E-02   4.3823E-01   1.7892E-01
     1823.000       20.514       79.486        0.160       99.840   2.5435E-02   4.3545E-01   1.7971E-01
     1823.000       20.635       79.365        0.161       99.839   2.5872E-02   4.3268E-01   1.8048E-01
     1823.000       20.756       79.244        0.162       99.838   2.6316E-02   4.2993E-01   1.8125E-01
     1823.000       20.877       79.123        0.163       99.837   2.6765E-02   4.2720E-01   1.8201E-01
     1823.000       20.998       79.002        0.164       99.836   2.7222E-02   4.2448E-01   1.8277E-01
     1823.000       21.119       78.881        0.165       99.835   2.7684E-02   4.2178E-01   1.8351E-01
     1823.000       21.240       78.760        0.166       99.834   2.8154E-02   4.1909E-01   1.8425E-01
     1823.000       21.361       78.639        0.167       99.833   2.8630E-02   4.1642E-01   1.8498E-01
     1823.000       21.482       78.518        0.168       99.832   2.9112E-02   4.1376E-01   1.8571E-01
     1823.000       21.602       78.398        0.169       99.831   2.9601E-02   4.1112E-01   1.8643E-01
     1823.000       21.723       78.277        0.170       99.830   3.0097E-02   4.0850E-01   1.8714E-01
     1823.000       21.843       78.157        0.171       99.829   3.0599E-02   4.0589E-01   1.8784E-01
     1823.000       21.964       78.036        0.172       99.828   3.1109E-02   4.0329E-01   1.8853E-01
     1823.000       22.084       77.916        0.173       99.827   3.1625E-02   4.0072E-01   1.8922E-01
     1823.000       22.204       77.796        0.174       99.826   3.2148E-02   3.9816E-01   1.8990E-01
     1823.000       22.324       77.676        0.175       99.825   3.2678E-02   3.9561E-01   1.9057E-01
     1823.000       22.444       77.556        0.176       99.824   3.3215E-02   3.9308E-01   1.9123E-01
     1823.000       22.564       77.436        0.177       99.823   3.3759E-02   3.9057E-01   1.9189E-01
     1823.000       22.684       77.316        0.178       99.822   3.4310E-02   3.8808E-01   1.9254E-01
     1823.000       22.804       77.196        0.179       99.821   3.4868E-02   3.8560E-01   1.9318E-01
     1823.000       22.924       77.076        0.180       99.820   3.5433E-02   3.8313E-01   1.9381E-01
     1823.000       23.044       76.956        0.181       99.819   3.6006E-02   3.8069E-01   1.9443E-01
     1823.000       23.163       76.837        0.182       99.818   3.6585E-02   3.7826E-01   1.9505E-01
     1823.000       23.283       76.717        0.183       99.817   3.7172E-02   3.7585E-01   1.9566E-01
     1823.000       23.402       76.598        0.184       99.816   3.7766E-02   3.7345E-01   1.9626E-01
     1823.000       23.521       76.479        0.185       99.815   3.8367E-02   3.7108E-01   1.9685E-01
     1823.000       23.641       76.359        0.186       99.814   3.8975E-02   3.6871E-01   1.9744E-01
     1823.000       23.760       76.240        0.187       99.813   3.9591E-02   3.6637E-01   1.9801E-01
     1823.000       23.879       76.121        0.188       99.812   4.0214E-02   3.6404E-01   1.9858E-01
     1823.000       23.998       76.002        0.189       99.811   4.0844E-02   3.6173E-01   1.9914E-01
     1823.000       24.117       75.883        0.190       99.810   4.1482E-02   3.5944E-01   1.9969E-01
     1823.000       24.236       75.764        0.191       99.809   4.2126E-02   3.5716E-01   2.0024E-01
     1823.000       24.355       75.645        0.192       99.808   4.2779E-02   3.5490E-01   2.0077E-01
     1823.000       24.473       75.527        0.193       99.807   4.3438E-02   3.5266E-01   2.0130E-01
     1823.000       24.592       75.408        0.194       99.806   4.4105E-02   3.5043E-01   2.0182E-01
     1823.000       24.711       75.289        0.195       99.805   4.4780E-02   3.4823E-01   2.0233E-01
     1823.000       24.829       75.171        0.196       99.804   4.5461E-02   3.4604E-01   2.0283E-01
     1823.000       24.947       75.053        0.197       99.803   4.6150E-02   3.4386E-01   2.0333E-01
     1823.000       25.066       74.934        0.198       99.802   4.6846E-02   3.4170E-01   2.0382E-01
     1823.000       25.184       74.816        0.199       99.801   4.7550E-02   3.3956E-01   2.0429E-01
     1823.000       25.302       74.698        0.200       99.800   4.8261E-02   3.3744E-01   2.0477E-01
     1823.000       25.420       74.580        0.201       99.799   4.8980E-02   3.3534E-01   2.0523E-01
     1823.000       25.538       74.462        0.202       99.798   4.9705E-02   3.3325E-01   2.0568E-01
     1823.000       25.656       74.344        0.203       99.797   5.0438E-02   3.3118E-01   2.0613E-01
     1823.000       25.774       74.226        0.204       99.796   5.1179E-02   3.2912E-01   2.0657E-01
     1823.000       25.892       74.108        0.205       99.795   5.1927E-02   3.2708E-01   2.0700E-01
     1823.000       26.010       73.990        0.206       99.794   5.2681E-02   3.2506E-01   2.0742E-01
     1823.000       26.127       73.873        0.207       99.793   5.3444E-02   3.2306E-01   2.0783E-01
     1823.000       26.245       73.755        0.208       99.792   5.4213E-02   3.2107E-01   2.0824E-01
     1823.000       26.362       73.638        0.209       99.791   5.4990E-02   3.1910E-01   2.0864E-01
     1823.000       26.480       73.520        0.210       99.790   5.5773E-02   3.1714E-01   2.0903E-01
     1823.000       26.597       73.403        0.211       99.789   5.6564E-02   3.1521E-01   2.0941E-01
     1823.000       26.714       73.286        0.212       99.788   5.7363E-02   3.1329E-01   2.0978E-01
     1823.000       26.831       73.169        0.213       99.787   5.8168E-02   3.1138E-01   2.1015E-01
     1823.000       26.948       73.052        0.214       99.786   5.8980E-02   3.0949E-01   2.1051E-01
     1823.000       27.065       72.935        0.215       99.785   5.9799E-02   3.0762E-01   2.1086E-01
     1823.000       27.182       72.818        0.216       99.784   6.0625E-02   3.0577E-01   2.1120E-01
     1823.000       27.299       72.701        0.217       99.783   6.1459E-02   3.0393E-01   2.1154E-01
     1823.000       27.416       72.584        0.218       99.782   6.2299E-02   3.0211E-01   2.1186E-01
     1823.000       27.533       72.467        0.219       99.781   6.3146E-02   3.0030E-01   2.1218E-01
     1823.000       27.649       72.351        0.220       99.780   6.4000E-02   2.9851E-01   2.1250E-01
     1823.000       27.766       72.234        0.221       99.779   6.4861E-02   2.9673E-01   2.1280E-01
     1823.000       27.882       72.118        0.222       99.778   6.5728E-02   2.9497E-01   2.1310E-01
     1823.000       27.999       72.001        0.223       99.777   6.6602E-02   2.9323E-01   2.1339E-01
     1823.000       28.115       71.885        0.224       99.776   6.7483E-02   2.9150E-01   2.1367E-01
     1823.000       28.231       71.769        0.225       99.775   6.8370E-02   2.8979E-01   2.1395E-01
     1823.000       28.347       71.653        0.226       99.774   6.9265E-02   2.8810E-01   2.1421E-01
     1823.000       28.463       71.537        0.227       99.773   7.0165E-02   2.8641E-01   2.1447E-01
     1823.000       28.579       71.421        0.228       99.772   7.1072E-02   2.8475E-01   2.1473E-01
     1823.000       28.695       71.305        0.229       99.771   7.1986E-02   2.8310E-01   2.1497E-01
     1823.000       28.811       71.189        0.230       99.770   7.2906E-02   2.8146E-01   2.1521E-01
     1823.000       28.927       71.073        0.231       99.769   7.3832E-02   2.7984E-01   2.1544E-01
     1823.000       29.043       70.957        0.232       99.768   7.4765E-02   2.7824E-01   2.1567E-01
     1823.000       29.158       70.842        0.233       99.767   7.5704E-02   2.7664E-01   2.1588E-01
     1823.000       29.274       70.726        0.234       99.766   7.6648E-02   2.7507E-01   2.1609E-01
     1823.000       29.389       70.611        0.235       99.765   7.7599E-02   2.7351E-01   2.1630E-01
     1823.000       29.505       70.495        0.236       99.764   7.8557E-02   2.7196E-01   2.1649E-01
     1823.000       29.620       70.380        0.237       99.763   7.9519E-02   2.7043E-01   2.1668E-01
     1823.000       29.735       70.265        0.238       99.762   8.0489E-02   2.6891E-01   2.1687E-01
     1823.000       29.850       70.150        0.239       99.761   8.1464E-02   2.6740E-01   2.1704E-01
     1823.000       29.965       70.035        0.240       99.760   8.2445E-02   2.6591E-01   2.1722E-01
     1823.000       30.080       69.920        0.241       99.759   8.3431E-02   2.6443E-01   2.1738E-01
     1823.000       30.195       69.805        0.242       99.758   8.4423E-02   2.6297E-01   2.1754E-01
     1823.000       30.310       69.690        0.243       99.757   8.5422E-02   2.6152E-01   2.1769E-01
     1823.000       30.425       69.575        0.244       99.756   8.6425E-02   2.6008E-01   2.1783E-01
